level_0	hhid14	pid14	panel	tk01	tk02	tk03	tk04	tk01a	tk01b	tk01c	tk01d	tk25a9x	age	marstat	sex	link	hhsize	nonfood	food	total	kabid	nmkab2014	pce	sc05	sc21x	ar02b_14	hhid07	pid07	dl06	dl05a	dl07a	dl30	dl42	index	dl2type	dl16j	dl10	dl16c2	dl16e	dl11d	dl11e	dl11f	sw00	sw01	sw03b	kk01	kk02a	kk02c	nonfood07	food07	total07	pce07	change
21	0021900	6	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	1:Yes	3:No		15.0	1:Not ye	3:Female	002190006	12	16905.885	44167.063	61072.948	1214	NIAS SELATAN	60723.898	2:Rural	96:SAME	3:Childr	0021900	6	2:Elemen	6.0	1:Yes	1:Yes	1:Yes	67	1	15	2			6:Still			2:Very s	2.0	2:Adequa	1:Very h	2.0	1:Much b	28419.087	93599.811	122018.9	122018.9	-60945.95
22	0021951	4	3:New	1:Workin				1:Yes	3:No	3:No	3:No		19.0	1:Not ye	3:Female	002190005	4	1417336.8	1259215	2676551.9	1214	NIAS SELATAN	1579961.5	1:Urban	12:Move	17:Non-r	0021900	5	5:Senior	7.0	3:No	1:Yes	1:Yes	70	3	60	5	4.0				2014.0	4:Not ve	1:Poores	1:Less a	3:Somewh	2.0	4:Somewh	28419.087	93599.811	122018.9	122018.9	2554533
24	0022200	4	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	1:Yes	3:No		17.0	1:Not ye	1:Male	002220004	4	155294.46	204197.03	359491.49	1214	NIAS SELATAN	359491.5	2:Rural	11:Move	3:Childr	0022200	4	5:Senior	5.0	1:Yes	1:Yes	1:Yes	81	3	15	5			6:Still			2:Very s	3.0	2:Adequa	2:Somewh	2.0	3:About	74949.221	165037.45	239986.67	239986.67	119504.82
25	0022600	8	1:Panel	7:Sick/d	1:Yes			1:Yes	3:No	3:No	3:No		22.0	2:Marrie	1:Male	002260008	7	34426.772	747296.33	781723.1	1214	NIAS SELATAN	781723.11	2:Rural	14:Move	3:Childr	0022600	8	3:Junior	7.0	3:No												4:Not ve	2.0	1:Less a	3:Somewh	7.0	2:Somewh	166518.56	174664.63	341183.19	341183.19	440539.91
26	0022600	11	3:New	4:Housek	3:No	3:No	3:No	3:No	3:No	1:Yes	3:No		18.0	2:Marrie	3:Female	002260011	7	34426.772	747296.33	781723.1	1214	NIAS SELATAN	781723.11	2:Rural	14:Move	5:Sons/d	0022600		2:Elemen	5.0	3:No	3:No		93	1	30	2			3:No	C	2001.0	2:Very s	1:Poores	1:Less a	3:Somewh	7.0	4:Somewh	166518.56	174664.63	341183.19	341183.19	440539.91
27	0022942	2	3:New	1:Workin				1:Yes	3:No	1:Yes	3:No		17.0	1:Not ye	3:Female	002294202	5	228148.97	412239.43	640388.4	1312	PASAMAN BARAT	640388.4	2:Rural	14:Move	3:Childr	0022942	2															3:Somewh	2.0	3:More t	2:Somewh	0.0	1:Much b	62418.012	145232.97	207650.98	207650.97	432737.42
28	0022942	3	3:New	1:Workin				1:Yes	3:No	1:Yes	3:No		16.0	1:Not ye	3:Female	002294203	5	228148.97	412239.43	640388.4	1312	PASAMAN BARAT	640388.4	2:Rural	14:Move	3:Childr	0022942	3	2:Elemen	7.0	3:No	3:No		103	1	5	2			3:No	V	2012.0	3:Somewh	2.0	2:Adequa	2:Somewh	0.0	2:Somewh	62418.012	145232.97	207650.98	207650.97	432737.42
29	0030100	9	3:New	1:Workin				1:Yes	3:No	3:No	3:No		19.0	1:Not ye	1:Male	003010009	4	117038.06	257288.26	374326.33	1277	PADANGSIDIMPUAN	374326.31	2:Rural	11:Move	3:Childr	0030100	9	6:Senior	6.0	3:No	1:Yes	1:Yes	106	3	20	6	4.0	28.58			2014.0	2:Very s	3.0	3:More t	2:Somewh	3.0	1:Much b	214971.86	188032.67	403004.53	401988.9	-28678.209
30	0030200	6	3:New	1:Workin				1:Yes	3:No	3:No	3:No		22.0	1:Not ye	1:Male	003020006	9	103894.21	139156.5	243050.71	1277	PADANGSIDIMPUAN	243050.7	2:Rural	14:Move	3:Childr	0030200	6	3:Junior	6.0	3:No	3:No		117	2	10	3	3.0	22.47			2007.0	2:Very s	1:Poores	1:Less a	2:Somewh	1.0	2:Somewh	152304.18	123998.12	276302.3	231710.46	-33251.591
31	0030200	7	3:New	2:Job se	1:Yes			1:Yes	3:No	3:No	1:Yes		20.0	1:Not ye	1:Male	003020007	9	103894.21	139156.5	243050.71	1277	PADANGSIDIMPUAN	243050.7	2:Rural	14:Move	3:Childr	0030200	7	3:Junior	6.0	3:No	3:No		119	2	15	3	4.0	24.55			2010.0	3:Somewh	3.0	1:Less a	3:Somewh	5.0	2:Somewh	152304.18	123998.12	276302.3	231710.46	-33251.591
32	0030200	8	3:New	1:Workin				1:Yes	3:No	3:No	3:No		19.0	1:Not ye	1:Male	003020008	9	103894.21	139156.5	243050.71	1277	PADANGSIDIMPUAN	243050.7	2:Rural	14:Move	3:Childr	0030200	8	3:Junior	6.0	3:No	3:No		121	2	15	3			3:No	K	2009.0	2:Very s	3.0	2:Adequa	3:Somewh	1.0	2:Somewh	152304.18	123998.12	276302.3	231710.46	-33251.591
33	0030300	8	3:New	3:Attend	3:No	3:No	1:Yes	3:No	1:Yes	3:No	3:No		15.0	1:Not ye	1:Male	003030008	6	188245.24	126450.9	314696.14	1277	PADANGSIDIMPUAN	311903.72	2:Rural	11:Move	3:Childr	0030300	8	6:Senior	6.0	1:Yes	1:Yes	3:No	125	3	15	6			6:Still			2:Very s	3.0	2:Adequa	2:Somewh	0.0	2:Somewh	110257.71	207177.02	317434.73	310325.43	-2738.5941
34	0030400	4	1:Panel	3:Attend	3:No	3:No	3:No	3:No	1:Yes	3:No	3:No		22.0	1:Not ye	3:Female	003040004	7	250282.24	208994.04	459276.28	1277	PADANGSIDIMPUAN	402430.21	2:Rural	11:Move	3:Childr	0030400	4	61:Unive	7.0	1:Yes	1:Yes	3:No	130	4	30	61			6:Still			3:Somewh	4.0	2:Adequa	2:Somewh	0.0	2:Somewh	206810.67	62006.922	268817.59	264888.14	190458.69
35	0030400	5	3:New	1:Workin				1:Yes	3:No	3:No	3:No		19.0	1:Not ye	3:Female	003040005	7	250282.24	208994.04	459276.28	1277	PADANGSIDIMPUAN	402430.21	2:Rural	11:Move	3:Childr	0030400	5	5:Senior	6.0	3:No	3:No		133	3	30	5	5.0				2013.0	5:Not at	4.0	1:Less a	3:Somewh	0.0	2:Somewh	206810.67	62006.922	268817.59	264888.14	190458.69
36	0030400	6	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	3:No	3:No		17.0	1:Not ye	3:Female	003040006	7	250282.24	208994.04	459276.28	1277	PADANGSIDIMPUAN	402430.21	2:Rural	11:Move	3:Childr	0030400	6	6:Senior	6.0	1:Yes	1:Yes	3:No	136	3	20	6			6:Still			3:Somewh	3.0	2:Adequa	2:Somewh	0.0	3:About	206810.67	62006.922	268817.59	264888.14	190458.69
37	0030500	8	1:Panel	4:Housek	1:Yes			1:Yes	3:No	1:Yes	3:No		24.0	2:Marrie	3:Female	003050008	7	134266.4	294043.73	428310.14	1277	PADANGSIDIMPUAN	424310.97	2:Rural	11:Move	3:Childr	0030500	8	5:Senior	6.0	3:No	3:No		143	3	15	5	6.0	36.7			2008.0	1:Comple	6:Riches	1:Less a	2:Somewh	2.0	2:Somewh	257349.6	271133	528482.6	523404.49	-100172.47
38	0030800	9	3:New	2:Job se	3:No	3:No	3:No	3:No	3:No	3:No	1:Yes		18.0	1:Not ye	1:Male	003080009	4	84863.941	118888.05	203751.99	1277	PADANGSIDIMPUAN	203751.99	2:Rural	11:Move	3:Childr	0030800	9	3:Junior	7.0	3:No	3:No		151	2	5	3	5.0				2013.0	2:Very s	2.0	2:Adequa	2:Somewh	0.0	2:Somewh	215931.93	190893.32	406825.26	361598.64	-203073.27
39	0030900	19	3:New	1:Workin				1:Yes	3:No	1:Yes	3:No		20.0	1:Not ye	3:Female	003090019	2	1453254.6	601700.6	2054955.1	1277	PADANGSIDIMPUAN	2054955.2	2:Rural	14:Move	13:Nephe	0030900		6:Senior	7.0	3:No	1:Yes	3:No	154	3	20	6	3.0				2014.0	2:Very s	3.0	2:Adequa	2:Somewh	0.0	3:About	885395.68	333454.22	1218849.9	537662.42	836105.24
40	0031041	3	3:New	2:Job se	1:Yes			1:Yes	3:No	3:No	3:No	1:Receiv	19.0	1:Not ye	1:Male	003104103	6	101388.77	306144.29	407533.07	1277	PADANGSIDIMPUAN	407533.09	2:Rural	11:Move	3:Childr	0031041	3	3:Junior	5.0	3:No	3:No		157	2	30	3	4.0				2011.0	3:Somewh	1:Poores	2:Adequa	2:Somewh	2.0	5:Much w	187430.35	529953.61	717383.96	711106.86	-309850.9
41	0031100	4	1:Panel	1:Workin				1:Yes	3:No	3:No	1:Yes		24.0	1:Not ye	1:Male	003110004	4	102081.07	236414.78	338495.85	1277	PADANGSIDIMPUAN	335773.23	2:Rural	11:Move	3:Childr	0031100	4	3:Junior	6.0	3:No															2:Somewh	2.0	2:Somewh	229914.09	204756.46	434670.55	434670.56	-96174.702
42	0031100	5	3:New	2:Job se	3:No	3:No	3:No	3:No	3:No	3:No	1:Yes		18.0	1:Not ye	3:Female	003110005	4	102081.07	236414.78	338495.85	1277	PADANGSIDIMPUAN	335773.23	2:Rural	11:Move	3:Childr	0031100	5	3:Junior	6.0	3:No	1:Yes	3:No	159	2	10	3	4.0					1:Comple	3.0	3:More t	1:Very h	0.0	1:Much b	229914.09	204756.46	434670.55	434670.56	-96174.702
43	0031211	3	3:New	1:Workin				1:Yes	3:No	3:No	3:No		18.0	1:Not ye	1:Male	003121103	6	235321.08	198146.75	433467.84	1277	PADANGSIDIMPUAN	404426.47	2:Rural	11:Move	3:Childr	0031211	3	6:Senior	5.0	3:No	1:Yes	1:Yes	168	3	60	6	4.0	27.06			2014.0	2:Very s	3.0	1:Less a	1:Very h	2.0	2:Somewh	44475.477	125061.7	169537.18	169537.18	263930.65
44	0031211	4	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	3:No	3:No		16.0	1:Not ye	3:Female	003121104	6	235321.08	198146.75	433467.84	1277	PADANGSIDIMPUAN	404426.47	2:Rural	11:Move	3:Childr	0031211	4	5:Senior	6.0	1:Yes	1:Yes	1:Yes	171	3	15	5			6:Still			3:Somewh	4.0	2:Adequa	2:Somewh	0.0	2:Somewh	44475.477	125061.7	169537.18	169537.18	263930.65
45	0031300	7	3:New	1:Workin				1:Yes	3:No	3:No	3:No		18.0	1:Not ye	1:Male	003130007	4	166813.27	289959.79	456773.06	1277	PADANGSIDIMPUAN	456773.06	2:Rural	11:Move	3:Childr	0031300	7	6:Senior	6.0	3:No	3:No		177	3	20	6			3:No	C	2011.0	3:Somewh	3.0	2:Adequa	3:Somewh	0.0	3:About	80170.116	330294.94	410465.06	410465.04	46308.008
46	0031500	5	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	3:No	3:No		16.0	1:Not ye	3:Female	003153103	7	230296.36	234405.23	464701.59	1277	PADANGSIDIMPUAN	464701.61	2:Rural	11:Move	10:Grand	0031500	5	5:Senior	6.0	1:Yes	1:Yes	3:No	183	3	15	5			6:Still			2:Very s	3.0	2:Adequa	2:Somewh	0.0	2:Somewh	60891.565	201581.46	262473.02	262473.02	202228.57
48	0031800	7	1:Panel	2:Job se	3:No	3:No	1:Yes	3:No	3:No	3:No	1:Yes		23.0	1:Not ye	1:Male	003180007	2	537125.46	850367.21	1387492.7	1277	PADANGSIDIMPUAN	1296738.5	2:Rural	11:Move	3:Childr	0031800	7	60:Colle	6.0	3:No	3:No		190	4	18	60					2012.0	2:Very s	3.0	2:Adequa	2:Somewh	0.0	4:Somewh	1270763.7	362348.87	1633112.5	1203817.8	-245619.87
49	0032000	10	3:New	3:Attend	1:Yes			3:No	1:Yes	3:No	3:No		17.0	1:Not ye	1:Male	003200010	3	746232.54	806502.65	1552735.2	1277	PADANGSIDIMPUAN	1071039.6	2:Rural	11:Move	3:Childr	0032000	10	74:Islam	7.0	1:Yes	1:Yes	3:No	205	3	15	74			6:Still			3:Somewh	4.0	2:Adequa	2:Somewh	0.0	2:Somewh	456638.9	270661.42	727300.32	507779.29	825434.87
50	0032031	3	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	1:Yes	3:No		17.0	1:Not ye	3:Female	003203103	4	829057.42	831308.82	1660366.2	1277	PADANGSIDIMPUAN	1617292.9	2:Rural	11:Move	4:Childr	0032031	3	5:Senior	5.0	1:Yes	1:Yes	3:No	208	3	25	5			6:Still			1:Comple	4.0	3:More t	1:Very h	3.0	2:Somewh	675336.43	1197896.8	1873233.2	1846784.9	-212866.99
51	0032031	4	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	3:No	3:No		17.0	1:Not ye	1:Male	003203104	4	829057.42	831308.82	1660366.2	1277	PADANGSIDIMPUAN	1617292.9	2:Rural	11:Move	4:Childr	0032031	4	5:Senior	6.0	1:Yes	1:Yes	3:No	211	3	25	5			6:Still			2:Very s	4.0	2:Adequa	1:Very h	0.0	2:Somewh	675336.43	1197896.8	1873233.2	1846784.9	-212866.99
52	0032400	9	1:Panel	1:Workin				1:Yes	3:No	3:No	3:No		24.0	4:Divorc	1:Male	003240009	8	108206.98	319681.8	427888.78	1277	PADANGSIDIMPUAN	411832.25	2:Rural	11:Move	3:Childr	0032400	9	5:Senior	6.0	3:No	3:No		212	3	15	5			3:No	K	2007.0				2:Somewh	0.0	2:Somewh	198221.26	324818.14	523039.4		-95150.621
53	0032400	10	1:Panel	3:Attend	3:No	3:No	1:Yes	3:No	1:Yes	1:Yes	1:Yes		22.0	1:Not ye	3:Female	003240010	8	108206.98	319681.8	427888.78	1277	PADANGSIDIMPUAN	411832.25	2:Rural	11:Move	3:Childr	0032400	10	61:Unive	7.0	1:Yes	1:Yes	3:No	214	4	25	61			6:Still			2:Very s	3.0	2:Adequa	3:Somewh	7.0	4:Somewh	198221.26	324818.14	523039.4		-95150.621
54	0032400	11	3:New	2:Job se	1:Yes			1:Yes	3:No	3:No	1:Yes		19.0	1:Not ye	1:Male	003240011	8	108206.98	319681.8	427888.78	1277	PADANGSIDIMPUAN	411832.25	2:Rural	11:Move	3:Childr	0032400	11	5:Senior	6.0	3:No	1:Yes	3:No													2:Somewh	0.0	3:About	198221.26	324818.14	523039.4		-95150.621
55	0032431	3	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	1:Yes	3:No		16.0	1:Not ye	3:Female	003243103	7	761487.89	412542.84	1174030.7	1277	PADANGSIDIMPUAN	1038078.9	2:Rural	11:Move	3:Childr	0032431	3	74:Islam	6.0	1:Yes	1:Yes	1:Yes	217	3	15	74			6:Still			2:Very s	4.0	3:More t	2:Somewh	2.0	2:Somewh	635838.53	714062.08	1349900.6	1334666.3	-175869.88
56	0032500	7	3:New	1:Workin				1:Yes	3:No	1:Yes	3:No		21.0	1:Not ye	3:Female	003250007	8	304672.45	387520.6	692193.05	1277	PADANGSIDIMPUAN	620287.76	2:Rural	11:Move	3:Childr	0032500	7	5:Senior	7.0	3:No	3:No		223	3	15	5	6.0	51.8			2011.0	2:Very s	3.0	3:More t	2:Somewh	4.0	3:About	180377.47	213240.62	393618.09	393618.09	298574.95
57	0032500	9	3:New	3:Attend	3:No	3:No	1:Yes	3:No	1:Yes	3:No	3:No		16.0	1:Not ye	3:Female	003250009	8	304672.45	387520.6	692193.05	1277	PADANGSIDIMPUAN	620287.76	2:Rural	11:Move	3:Childr	0032500	9	5:Senior	7.0	1:Yes	1:Yes	1:Yes	226	3	15	5			6:Still			2:Very s	4.0	2:Adequa	2:Somewh	0.0	2:Somewh	180377.47	213240.62	393618.09	393618.09	298574.95
58	0032900	6	3:New	4:Housek	3:No	3:No	3:No	3:No	3:No	1:Yes	3:No		17.0	1:Not ye	3:Female	003290006	5	754055.99	579012.04	1333068	1277	PADANGSIDIMPUAN	1224163	2:Rural	11:Move	3:Childr	0032900	6	5:Senior	6.0	3:No	1:Yes	3:No	251	3	10	74	6.0	51.55			2014.0	3:Somewh	3.0	2:Adequa	2:Somewh	0.0	3:About	468505.35	303760.61	772265.95	560608.93	560802.08
59	0140241	3	3:New	3:Attend	1:Yes			1:Yes	1:Yes	3:No	3:No		16.0	1:Not ye	3:Female	014024103	6	322887.29	513971.49	836858.78	1277	PADANGSIDIMPUAN	831273.93	1:Urban	11:Move	10:Grand	0140241	3	6:Senior	6.0	1:Yes	1:Yes	1:Yes	1257	3	10	6			6:Still			2:Very s	1:Poores	1:Less a	3:Somewh	2.0	2:Somewh	301563.62	503089.18	804652.8	677700.9	32205.986
60	0030342	4	3:New	95:Other	1:Yes			1:Yes	3:No	3:No	3:No		18.0	1:Not ye	1:Male	003031204	4	316348.33	555415.93	871764.25	1220	PADANG LAWAS UTARA	761812.01	2:Rural	11:Move	3:Childr	0030342	4	74:Islam	6.0	1:Yes	1:Yes	1:Yes	128	3	30	74	6.0				2015.0	3:Somewh	3.0	1:Less a	2:Somewh	3.0	3:About	242054.93	447801.64	689856.56	679700.39	181907.69
61	0032432	5	3:New	1:Workin				1:Yes	3:No	3:No	3:No		19.0	1:Not ye	1:Male	003243205	3	768176.44	588087.45	1356263.9	1203	TAPANULI SELATAN	769851.88	2:Rural	96:SAME	4:Childr	0032432	5	6:Senior	7.0	3:No	1:Yes	3:No													2:Somewh		1:Much b	168838.07	294866.92	463704.99	400229.03	892558.91
62	0032700	3	3:New	1:Workin				1:Yes	3:No	1:Yes	3:No		21.0	2:Marrie	1:Male	003270003	6	723341.53	297673.9	1021015.4	1203	TAPANULI SELATAN	696394.56	2:Rural	96:SAME	3:Childr	0032700	3	6:Senior	6.0	3:No	3:No		241	3	60	5	4.0	30.13			2011.0	3:Somewh	3.0	2:Adequa	2:Somewh	0.0	3:About	622249.4	0	622249.4		398766.02
63	0032700	4	3:New	2:Job se	3:No	3:No	3:No	3:No	3:No	3:No	1:Yes		18.0	1:Not ye	1:Male	003270004	6	723341.53	297673.9	1021015.4	1203	TAPANULI SELATAN	696394.56	2:Rural	96:SAME	3:Childr	0032700	4	6:Senior	6.0	3:No	1:Yes	1:Yes													2:Somewh	0.0	2:Somewh	622249.4	0	622249.4		398766.02
64	0032700	6	3:New	4:Housek	3:No	3:No	3:No	3:No	3:No	1:Yes	3:No		22.0	2:Marrie	3:Female	003270006	6	723341.53	297673.9	1021015.4	1203	TAPANULI SELATAN	696394.56	2:Rural	96:SAME	5:Sons/d	0032700		6:Senior	7.0	3:No	3:No		244	3	30	6	4.0				2011.0	3:Somewh	4.0	2:Adequa	2:Somewh	0.0	3:About	622249.4	0	622249.4		398766.02
65	0032800	5	3:New	1:Workin				1:Yes	3:No	3:No	3:No		24.0	1:Not ye	1:Male	003280005	4	137597.39	244128.9	381726.29	1221	PADANG LAWAS	381726.28	2:Rural	11:Move	3:Childr	0032800	5	5:Senior	7.0	3:No	3:No		248	3	60	5			3:No	V	2011.0	4:Not ve	2.0	2:Adequa	2:Somewh	0.0	3:About	449430.84	397923.62	847354.46	688100.4	-465628.17
66	0090743	4	3:New	1:Workin				1:Yes	3:No	3:No	3:No		22.0	1:Not ye	3:Female	009074304	4	457663.17	319908.69	777571.86	1221	PADANG LAWAS		2:Rural	11:Move	4:Childr	0090743		60:Colle	6.0	3:No	3:No		798	4	10	60					2013.0	2:Very s	3.0	1:Less a	2:Somewh	2.0	2:Somewh	872794.21	0	872794.21		-95222.356
67	0032941	8	3:New	1:Workin				1:Yes	3:No	3:No	3:No	1:Receiv	21.0	1:Not ye	1:Male	003290005	5	884949.81	427567.7	1312517.5	2171	B A T A M	876301.37	1:Urban	98:DON>T	8:Siblin	0032900	5	61:Unive	6.0	3:No	1:Yes	3:No	258	4	30	61			6:Still			4:Not ve	2.0	2:Adequa	2:Somewh	0.0	3:About	468505.35	303760.61	772265.95	560608.93	540251.56
68	0032941	8	3:New	1:Workin				1:Yes	3:No	3:No	3:No	1:Receiv	21.0	1:Not ye	1:Male	003290005	5	884949.81	427567.7	1312517.5	2171	BATAM	876301.37	1:Urban	98:DON>T	8:Siblin	0032900	5	61:Unive	6.0	3:No	1:Yes	3:No	258	4	30	61			6:Still			4:Not ve	2.0	2:Adequa	2:Somewh	0.0	3:About	468505.35	303760.61	772265.95	560608.93	540251.56
69	0111252	2	3:New	2:Job se	1:Yes			3:No	3:No	1:Yes	1:Yes		17.0	1:Not ye	1:Male	011120005	7	366875.92	309686.37	676562.29	2171	B A T A M	601636.52	1:Urban	98:DON>T	8:Siblin	0111200	5	6:Senior	6.0	3:No	1:Yes	3:No	1047	3	20	6	5.0				2015.0	3:Somewh	3.0	2:Adequa	1:Very h	7.0	2:Somewh	238962.75	518906.77	757869.52	732300.64	-81307.234
70	0111252	2	3:New	2:Job se	1:Yes			3:No	3:No	1:Yes	1:Yes		17.0	1:Not ye	1:Male	011120005	7	366875.92	309686.37	676562.29	2171	BATAM	601636.52	1:Urban	98:DON>T	8:Siblin	0111200	5	6:Senior	6.0	3:No	1:Yes	3:No	1047	3	20	6	5.0				2015.0	3:Somewh	3.0	2:Adequa	1:Very h	7.0	2:Somewh	238962.75	518906.77	757869.52	732300.64	-81307.234
71	0280731	3	3:New	1:Workin				1:Yes	3:No	3:No	3:No	1:Receiv	24.0	1:Not ye	1:Male	028070007	5	2149568.2	798844.54	2948412.7	2171	B A T A M	1856850.9	1:Urban	96:SAME	3:Childr	0280700	7	61:Unive	5.0	3:No	3:No		2271	4	30	61					2013.0	3:Somewh	5.0	3:More t	2:Somewh	0.0	2:Somewh	161982.38	0	161982.38		2786430.3
72	0280731	3	3:New	1:Workin				1:Yes	3:No	3:No	3:No	1:Receiv	24.0	1:Not ye	1:Male	028070007	5	2149568.2	798844.54	2948412.7	2171	BATAM	1856850.9	1:Urban	96:SAME	3:Childr	0280700	7	61:Unive	5.0	3:No	3:No		2271	4	30	61					2013.0	3:Somewh	5.0	3:More t	2:Somewh	0.0	2:Somewh	161982.38	0	161982.38		2786430.3
75	1631141	2	3:New	1:Workin				1:Yes	1:Yes	3:No	3:No		22.0	1:Not ye	3:Female	163110003	2	1734783.5	384059.88	2118843.4	2171	B A T A M	1177842	1:Urban	12:Move	3:Childr	1631141	2	61:Unive	5.0	1:Yes	1:Yes	1:Yes													1:Very h	0.0	2:Somewh	918287.78	560206.85	1478494.6	1416933.3	640348.76
76	1631141	2	3:New	1:Workin				1:Yes	1:Yes	3:No	3:No		22.0	1:Not ye	3:Female	163110003	2	1734783.5	384059.88	2118843.4	2171	BATAM	1177842	1:Urban	12:Move	3:Childr	1631141	2	61:Unive	5.0	1:Yes	1:Yes	1:Yes													1:Very h	0.0	2:Somewh	918287.78	560206.85	1478494.6	1416933.3	640348.76
