,Variable/index, dataset_source,Labels
59,SCintmeettot,,Number  of internal formal and informal school committee meetings without principal or parents
60,SCmeetparents,,"Number of formal meetings with school committee and parents, but principal not invited"
61,SCmeetdinas,,Number  of formal meetings between school committee and Dinas kab/kota/keca (invited by Dinas)
62,SCmeetcomm,,Whether school committee has ever had a meeting with any set of community groups
63,SCmeetbpd,,Whether school committee has ever had a meeting with village council
64,SPmeetsc,,Number  of informal meetings with principal and school committee representative + number of formal meetings with principal and school committee members + number of formal meetings with entire school committee
65,Tscmeet,,School committee invited teachers to discuss
66,Pmeet_teacher,,Number  of times parents met with teacher in the last three months to discuss childâ€™s performance (other than to pick up report card)
67,Pvisit,,Whether
68,Pallhh_min,,Total  number of minutes all household members accompanied child studying at home in past week
69,Psatparents,,Parentsâ€™ satisfaction with parentsâ€™ involvement in school and learning
70,Pchildatt,,Emphasis parents put on childâ€™s education (compilation
71,SCsat,,parents                School committee representativesâ€™ satisfaction with parentsâ€™ support for pupilsâ€™ education
72,SPsatpar,,Principalsâ€™ satisfaction with parentsâ€™ support for
73,SPparents,,involve         Principalsâ€™ assessment of parentsâ€™ involvement in school and learning
74,Tsatpar,,Teachersâ€™ satisfaction with parentsâ€™
75,Tparents,,perception      Whether teachers think parents of her/his pupils can help students improve achievement
76,Tparents,,perception1    Teachersâ€™ perception about parentsâ€™ involvement (actual and desired)
77,Shome,,"support              Someone in the household promotes, accompanies and answers questions relating to home study"
78,GTTteach_govt,,Number of contract teachers hired by government
79,SCsatteachers,,School committee representativesâ€™ satisfaction with quality and performance of teachers
80,SCteachnoprob,,School  committee representativesâ€™ perception of whether teacher quality has been a problem
81,SPsatteach,,Principalsâ€™ satisfaction with quality and performance of teachers
82,Tsatteach,,Teachersâ€™ satisfaction with quality and performance of teachers
83,Psatteachers,,Parentsâ€™ satisfaction with quality and performance of teachers
84,Pteacherperception,,Parentsâ€™ perceptions of teacher effort and approachability
85,Thours,,Number of hours worked
86,Tmeetparents,,Number  of times in past three months that teacher met with parents to discuss student learning
87,OBfractwithteach,,Fraction of classrooms with teachers (of those classrooms with teachers)
88,Prap_score,,Parents were told about all nformation from the School score (average 
89,Prap_a,,Whether parents were told about school fee year 2007/08
90,Prap_b,,Whether parents were told about school program year 2007/08
91,Prap_c,,Whether parents were told about school funding  year 2007/08
92,Prap_d,,Whether parents were told about school funding and budgeting plan (RAPBS) in the school year 2007/08
93,SPmeetteach,,Number of meetings between principal and teachers during school year 2007/08
94,Tprincmeet,,Number of routine meetings between principal and teachers in past year
95,SPteacheval,,Whether  principal conducts oral or written evaluations of teacher performance beyond compulsory yearly evaluation and whether results are given to teacher verbally or in writing
96,Tprinceval,,Whether  principal conducts evaluations of teacher performance beyond compulsory yearly evaluation to teachers
97,Tprincipal,,Teachersâ€™ overall assessment of principal (principal rated on seven
98,SPteachaward,,"Whether  principal rewards teachers who perform well (through recognition or gift/money), according to principals"
99,SPteachaccount,,"Whether  principal sanctions teachers who donâ€™t perform well (trough warnings or training), according to principals"
100,Treward,,"Whether  principal rewards teachers who perform well (through recognition or gift/money), according to teachers"
101,Taccount,,"Whether  principal sanctions teachers who donâ€™t perform well (trough warnings or training), according to teachers"
102,SCprinceffort,,School  committee representativesâ€™ perception of whether principal has taken measures to address issues that are holding back learning
103,SCsatcomm,,School committee representativesâ€™ satisfaction with support from community
104,SCnonbpd,,Whether  school committee cooperated with any non-educational community organizations other than the village council in the school year 2007/08
105,SCcomfundraise,,"Community, private sector and other contributions in the first semester of school year 2007/08 (Rupiah in millions)"
106,SCcominkind,,"Whether  community, private sector or any other private person/organization provided in- kind donations in the first semester of school year 2007/08"
107,SPsatcomm,,Principalâ€™s satisfaction with support from community
108,SPnonbpd,,Whether school cooperated with any non-educational community organizations other than the village council in the school year 2007/08
109,Psatcomm,,Parentsâ€™ satisfaction with support from community
110,Tsatcomm,,Teachersâ€™ satisfaction with support from community
